装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
サイコパス偽装ヘルメット,K019,KSR,,,,,6.8,8.4,状態異常になる確率を-5％減少,被状態異常確率低減
飯渕組の代紋,K020,KSR,3255,,,,9.3,,バトルスキルのヒートゲージ上昇量20%上昇,ヒートゲージ上昇
沢城のネクタイ,K021,KSR,,,,8.3,9.3,,組長の特性を持つ味方3人以上のとき自身のスキルCT5％加速,BSCT加速
辻のネックレス,K022,KSR,,,,,7.4,9.1,バトル開始時に自身のHPを20%回復,回復
ロウの機密情報,K023,KSR,,,460,7.9,,,会心威力10%上昇,会心威力上昇
T-SETのチョーカー,K024,KSR,3600,,426,,,,男性の敵人数×2.5%回避率を上昇,回避率上昇
クリスマスのシャンパン,K025,KSR,,501,,,,12.6,街の住人の特性を持つ味方が3人以上のとき自身のスキルCTを8％加速,BSCT加速
クララちゃんの蝶ネクタイ,K026,KSR,2923,,,,,12.0,補助タイプの味方人数×6％速度上昇,速度上昇
九井一の手袋,K027,KSR,,,460,,,10.0,ドンパチ・タイマン時に自身回復時に15%の確率で敵単体のスキルCTを4秒間5%減速,敵BSCTダウン
場地圭介のタスキ,K028,KSR,,,,8.0,,11.6,残HP50%以上のとき自身のスキルCT8%加速,BSCT加速
松野千冬のニット,K029,KSR,2963,,,,6.0,,異界の特性を持つ味方が2人以上のとき防御力を14%上昇,防御力上昇
マイキーのマフラー,K030,KSR,,,,,7.3,7.8,異界の特性を持つ味方が2人以上のとき攻撃力を10%上昇,攻撃力上昇
千石の眼鏡,K031,KSR,3690,,,,,12.3,バトル開始時に自身のHPを20%回復,回復
魚のポシェット,K032,KSR,,,592,,8.6,,HP90％以上のとき自身の防御力30%上昇,防御力上昇
峯のネクタイ・極,K033,KSR,2850,,,,7.5,,麻痺状態になる確率を30%減少,被状態異常確率低減
高島の携帯電話,K034,KSR,,497,,,,11.5,バトルスキルのヒートゲージ上昇量20%上昇,ヒートゲージ上昇
秋山のネックレス,K035,KSR,,558,,,,11.5,敵生存人数が3人以上のとき自身の会心率を16%上昇,会心率上昇
冴島のベルト,K036,KSR,2876,,,,6.8,,ドンパチ・タイマンの被ダメージ時10％の確率で敵単体へ3.0秒間の麻痺付与,状態異常付与
石尾田のネクタイ,K037,KSR,,535,,7.8,,,陽属性の敵が2人以上のときスキルCTを6%加速,BSCT加速
コケコッ子のたまご,K038,KSR,3600,,430,,,,被ダメージ時14%の確率で自身のHPを10%回復,回復
一番煎餅,K039,KSR,,,427,,8.0,,バトル開始時に自身のHPを20%回復,回復
サイの花屋の腕時計,K040,KSR,3169,,,,,11.1,被ダメージ時20%の確率で防御力を4.0秒間5%ずつ上昇,防御力上昇
遥のヘアピン・極,K041,KSR,3500,,,,8.0,,ヒートゲージ4以下のとき自身の回避率を12%上昇,回避率上昇
巌見の眼鏡,K042,KSR,,,450,,,12.0,ドンパチ・タイマンの被ダメージ時10％の確率で敵単体へ3.0秒間の封印付与,状態異常付与
桐生の革靴,K043,KSR,3000,,,10.0,,,残HP80%以上のときスキルCT10%加速,BSCT加速
リチャードソンのネクタイ,K044,KSR,,,,3.7,12.0,,自身が状態異常時に回避率が30％上昇,回避率上昇
北村の手錠,K045,KSR,,530,,,,12.0,バトルスキルのヒートゲージ上昇量を防御タイプの敵人数×6%上昇,ヒートゲージ上昇
鋼鉄篭手,K046,KSR,2870,,,,,9.2,味方生存人数4人以上のとき攻撃力を6%上昇,攻撃力上昇
