装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
堂島の刀,S052,SSR,,340,,5.2,,,通常攻撃時12%の確率で敵の防御力を8秒間-16%減少,敵防御ダウン
冴島組の謹製ナックル,S053,SSR,,127,,16.6,,,,
冴島組の謹製手榴弾,S054,SSR,,335,,3.9,,,,
堂島の刀・攻,S055,SSR,,380,,,,,,
究極の妖刀,S056,SSR,,700,,,,,攻撃力を250上昇,攻撃力上昇
新井の拳銃,S057,SSR,,448,,,,12.3,敵不在人数×6%攻撃力上昇,攻撃力上昇
品田の鉄パイプ,S058,SSR,,363,,13.1,,,敵生存数×5%命中率を上昇,命中率上昇
相沢の刀,S059,SSR,,462,,,,8.3,回復不可状態の敵に対して攻撃力が12%上昇,攻撃力上昇
白金バット,S060,SSR,,600,,10,,,会心率を10.0%上昇,会心率上昇
染谷の刀,S061,SSR,,373,,,,9,通常攻撃時10%の確率で出血付与(10秒間でHP10%減少),状態異常付与
来栖の拳銃,S062,SSR,,404,,,,11.7,骨折状態の敵に対して攻撃力が12%上昇,攻撃力上昇
李の鍼,S063,SSR,,404,,11.7,,,状態異常時に攻撃力が20%上昇,攻撃力上昇
尾田のトンファー,S064,SSR,,409,,,,9.9,HP50%以上のときスキルCT8%加速,BSCT加速
嶋野の刀,S065,SSR,,379,,,,,会心時の攻撃力を10%上昇,会心威力上昇
久瀬の鉄パイプ,S066,SSR,,384,,,,8.4,攻撃タイプの味方人数×5%攻撃力上昇,攻撃力上昇
錦山のナイフ,S067,SSR,,398,,4,,,自身の速度を20%上昇,速度上昇
狭山の木刀,S068,SSR,,373,,,,5.9,通常攻撃時12%の確率で敵の防御力を6秒間15%減少,敵防御ダウン
カチコミナックル,S069,SSR,,450,,,,12,攻撃タイプの自身へ会心率・回避率を5.0%上昇,会心率上昇，回避率上昇
助太刀の刃,S070,SSR,,450,,,,12,補助タイプの自身へ防御力100上昇・会心率5.0%上昇,防御力上昇，会心率上昇
金剛石の槌,S071,SSR,,450,,,,12,防御タイプの自身へ防御力100上昇・体力1000上昇,防御力上昇，体力上昇
不死鳥のバット,S072,SSR,,450,,,,12,回復タイプの自身へ体力1000上昇・回避率5.0%上昇,体力上昇、回避率上昇
精龍の短剣,S073,SSR,,650,,16,,,心属性の自身へ5％分状態異常を除く全ダメージ増加,ダメージ増加
匠龍の短剣,S074,SSR,,650,,16,,,技属性の自身へ5％分状態異常を除く全ダメージ増加,ダメージ増加
壮龍の短剣,S075,SSR,,650,,16,,,体属性の自身へ5％分状態異常を除く全ダメージ増加,ダメージ増加
輝龍の短剣,S076,SSR,,650,,16,,,陽属性の自身へ5％分状態異常を除く全ダメージ増加,ダメージ増加
黒龍の短剣,S077,SSR,,650,,16,,,陰属性の自身へ5％分状態異常を除く全ダメージ増加,ダメージ増加
飯渕の拳銃,S078,SSR,,384,,,,7.9,出血状態の敵に対して攻撃力が12%上昇,攻撃力上昇
弥生の刀,S079,SSR,,374,,,5.9,,攻撃時12%の確率でHPが18％回復,回復
玉城のナイフ,S080,SSR,,364,,8.8,,,出血が成功する確率を10%上昇,状態異常確率上昇
風間のピストル,S081,SSR,,427,,6.2,,,全状態異常中の敵に対して攻撃力が8%上昇,攻撃力上昇
城戸の拳銃,S082,SSR,945,,320,,,,通常攻撃時12％の確率で敵の攻撃力を9秒間-12％減少,敵攻撃ダウン
血濡れたノミ,S083,SSR,,370,,,,7,出血が成功する確率を12%上昇,状態異常確率上昇
馬場の狙撃銃,S084,SSR,,,330,,,5.9,攻撃タイプの敵人数×5%防御力上昇,防御力上昇
勝矢のタバコ,S085,SSR,394,,,,,8.5,通常攻撃時18%の確率で敵の防御力を6秒間20%減少,敵防御ダウン
広瀬の出刃包丁,S086,SSR,360,,,,3,,通常攻撃時10％の確率で10秒間骨折付与（行動毎1000ダメージ),状態異常付与
ナンバのビニール傘,S087,SSR,,367,,,8.8,,全状態異常中の敵に対して攻撃力が12%上昇,攻撃力上昇
天童のメリケンサック,S088,SSR,,,338,10.7,,,補助タイプの敵人数×5％防御力上昇,防御力上昇
春日のプレゼント袋,S089,SSR,,440,,11,,,通常攻撃時9%の確率で4.0秒間の麻痺付与,状態異常付与
花垣の射的銃,S090,SSR,,330,,7,,,自身の命中率を6％上昇,命中率上昇
GBホームズのグローブ,S091,SSR,,272,335,,,,打撲状態の敵に対しての攻撃力が25％上昇,攻撃力上昇
荒瀬の二丁拳銃,S092,SSR,,430,,,,8,出血状態の敵の防御力を20％減少,敵防御ダウン
エンコ詰め,S093,SSR,,345,,6,,,陰属性の味方人数×5%攻撃力上昇,攻撃力上昇
東出塔子の傘,S094,SSR,,375,,,6.8,,女性の味方生存者が2人以上のとき攻撃力が10%上昇,攻撃力上昇
山田照のヌンチャク,S095,SSR,,369,,,,8.4,通常攻撃時10％の確率で4.0秒間の混乱付与,状態異常付与
カランビットナイフ,S096,SSR,,398,,,8.7,,HP50％以上のときスキルCT8％加速,BSCT加速
ラウ・カーロンの薙刀,S097,SSR,,423,,,,9.9,防御タイプの敵人数×5%攻撃力上昇,攻撃力上昇
佐川の金属バット,S098,SSR,3050,,,,6,,状態異常になる確率を10％減少,被状態異常確率低減
小清水の竹刀,S099,SSR,,443,,10.8,,,バトルスキルのヒートゲージ上昇量20%上昇,ヒートゲージ上昇
ハンの二丁拳銃,S100,SSR,1425,395,,,,,HP50％以上のときヒートアクションCT6％加速,HACT加速
