装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
小雪のフード,K030,KSR,3421,,,,8.3,,女性の味方人数×6%防御力を上昇,防御力上昇
寺田のコート・極,K031,KSR,2805,,,,7,,自身が状態異常時に防御力が20％上昇,防御力上昇
柴八戒の短ラン,K032,KSR,3200,,,,9.1,,残HP80%以上のとき自身の被ダメージを5%の確率で無効化,ダメージ無効化
柴大寿の特攻服,K033,KSR,3400,278,,,,,街の住人の特性を持つ味方が3人以上のときヒートアクションの攻撃力を16％上昇,攻撃力上昇
黒龍の特攻服,K034,KSR,,,536,9,,,異界の特性を持つ味方が2人以上のとき防御力を10%上昇,防御力上昇
防寒ジャケット,K035,KSR,,,676,,8.2,,自身の速度を20%上昇,速度上昇
新藤のジャケット,K036,KSR,,,581,9.1,,,体属性の自身へスキルCT8%加速,BSCT加速
尾田のジャケット,K037,KSR,,,608,,8.8,,東城会の特性を持つ敵が3人以上のとき自身のスキルCTを8%加速,BSCT加速
花のベスト・極,K038,KSR,3098,,610,,,,攻撃タイプの敵人数×4%回避率を上昇,回避率上昇
秋山のジャケット・極,K039,KSR,,,496,,9.2,,敵全体の状態異常人数×8%速度上昇,速度上昇
桐生の学ラン,K040,KSR,3350,,534,,,,回復タイプの味方生存者3人以上のときスキルCT8％加速,BSCT加速
品田のジャケット,K041,KSR,3245,,,,8.8,,街の住人の特性を持つ味方人数×6%防御力上昇,防御力上昇
品田のユニフォーム・極,K042,KSR,2700,,,4.5,,,街の住人の特性を持つ味方が3人以上のとき攻撃力を6％上昇,攻撃力上昇
冴島のジャケット,K043,KSR,,,670,8.2,,,攻撃タイプの味方生存者3人以上のときスキルCT8%加速,BSCT加速
シンジのロングコート,K044,KSR,3010,,612,,,,ドンパチ・タイマンの被ダメージ時20%の確率で敵単体のスキルCTを4秒間10%減速,敵BSCTダウン
春日のジャケット(Ⅲ),K045,KSR,2700,,,,8.8,,味方生存者3人以上のとき回復量固定ダメージを5%強化,ダメージ増加
カムロップヘルム・極,K046,KSR,3200,,,,,11,ヒートゲージ2以下のとき防御力を25%上昇,防御力上昇
鉄製鉢金,K047,KSR,,,632,8.7,,,防御タイプの味方生存者3人以上のとき防御力25%上昇,防御力上昇
鉄製胸当,K048,KSR,,,600,,7,,HP50%以上のとき回避率を10%上昇,回避率上昇
真島のジャケット・極,K049,KSR,2690,,532,,,,残HP30%以下のと時に防御力25%上昇,防御力上昇
冴島の囚人服・極,K050,KSR,2690,,532,,,,残HP30%以下のと時に防御力25%上昇,防御力上昇
大吾のダウン・極,K051,KSR,2690,,532,,,,残HP30%以下のと時に防御力25%上昇,防御力上昇
南のジャージ,K052,KSR,,,645,,8.3,,残HP50％以上の時ヒートアクションCT6%加速,HACT加速
佐川のスーツ,K053,KSR,,,654,,8.5,,自身の防御力を5%上昇とドンパチ・タイマン時に回復タイプの敵のアビリティのバトルスキルCT後退を2%低減(最高値のみ適用),防御力上昇，BS後退低減
